Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Divine Serum,Fenty Beauty,BB Cream,Monthly,17.79,5.0,8271,50ml,Dry,Male,Stick,Glycerin,True,Australia
Perfect Blush,Tatcha,Lip Liner,Occasional,12.11,5.0,537,100ml,Sensitive,Male,Jar,Shea Butter,True,Australia
Perfect Powder,Yves Saint Laurent,CC Cream,Occasional,31.08,5.0,4524,150ml,Dry,Unisex,Compact,Glycerin,True,UK
Magic Highlighter,Becca,Bronzer,Monthly,94.06,5.0,6493,200ml,Sensitive,Male,Spray,Hyaluronic Acid,True,Italy
Super Highlighter,Yves Saint Laurent,Makeup Remover,Occasional,141.56,5.0,8957,250ml,Oily,Unisex,Compact,Aloe Vera,False,South Korea
Magic Lipstick,Pat McGrath Labs,CC Cream,Weekly,70.76,5.0,9477,200ml,Dry,Female,Compact,Aloe Vera,True,South Korea
Magic Foundation,Fenty Beauty,Primer,Weekly,87.16,5.0,8444,250ml,Combination,Unisex,Compact,Hyaluronic Acid,True,South Korea
Divine Powder,Kiehl’s,Bronzer,Monthly,21.46,5.0,3242,30ml,Sensitive,Unisex,Bottle,Vitamin C,False,Italy
Super Serum,Sisley,Lip Gloss,Weekly,138.55,5.0,3349,50ml,Sensitive,Male,Compact,Hyaluronic Acid,False,Germany
Divine Makeup Remover,Drunk Elephant,Face Mask,Monthly,91.94,5.0,2493,250ml,Combination,Female,Bottle,Vitamin C,False,South Korea
